NAME,E_KS (1st),E_Free,Spin,Gap,N_Au,N_Ag,DE1stStep,DE1stSteppa,EEFinal,EEFinalpa,DE_Bulk,DE_Bulk_peratom,NBONDS,AVBONDLEN,NAGAGBONDS,AVAGAGBONDLEN,AGAGRATIO,NAGAUBONDS,AVAGAUBONDLEN,AGAURATIO,NAUAUBONDS,AVAUAUBONDLEN,AUAURATIO,Type,NAG,NAU,Dir,Conf,Schoenflies symbol,CSM,RMS
deca_Ag_03_Au_10_config_304,-11990.2523,-11992.1822,0.99555,0.18322,10,3,-0.97206923,-0.07477456,-2.61234769,-0.20094982,-13.327196,-1.025169,34,2.8118904,2,2.9059424,0.0588,15,2.8058639,0.4412,17,2.8061428,0.5,Deca,3,10,Ag_03,deca_Ag_03_Au_10_config_304,NO,NA,NA
deca_Ag_03_Au_10_config_305,-11989.72437,-11991.87631,1.00035,0.06911,10,3,-0.44413923,-0.03416456,-2.30645769,-0.17741982,-13.021314,-1.00164,33,2.807508,3,2.7928085,0.0909,11,2.8202786,0.3333,19,2.8024354,0.5758,Deca,3,10,Ag_03,deca_Ag_03_Au_10_config_305,NO,NA,NA
deca_Ag_03_Au_10_config_306,-11989.8746,-11992.25342,0.99851,0.21631,10,3,-0.59436923,-0.04572071,-2.68356769,-0.20642828,-13.398418,-1.030648,33,2.8142576,2,2.9172435,0.0606,15,2.8037329,0.4545,16,2.8112516,0.4848,Deca,3,10,Ag_03,deca_Ag_03_Au_10_config_306,Cs,0.0073,0.0086
deca_Ag_03_Au_10_config_307,-11989.6599,-11990.16307,0.99787,0.16795,10,3,-0.37966923,-0.02920533,-0.59321769,-0.04563213,-11.30807,-0.869852,37,2.8580277,2,2.9420395,0.0541,12,2.7947233,0.3243,23,2.8837512,0.6216,Deca,3,10,Ag_03,deca_Ag_03_Au_10_config_307,NO,NA,NA
deca_Ag_03_Au_10_config_308,-11990.0303,-11992.05606,0.99651,0.1905,10,3,-0.75006923,-0.05769763,-2.48620769,-0.19124675,-13.201055,-1.015466,31,2.7934077,2,2.85518,0.0645,14,2.7816067,0.4516,15,2.7961853,0.4839,Deca,3,10,Ag_03,deca_Ag_03_Au_10_config_308,NO,NA,NA
deca_Ag_03_Au_10_config_309,-11990.028,-11992.08425,0.99273,0.1684,10,3,-0.74776923,-0.05752071,-2.51439769,-0.19341521,-13.229249,-1.017635,34,2.8139665,2,2.8662088,0.0588,15,2.8273978,0.4412,17,2.7959688,0.5,Deca,3,10,Ag_03,deca_Ag_03_Au_10_config_309,NO,NA,NA
deca_Ag_03_Au_10_config_310,-11989.8944,-11992.15738,0.99378,0.17305,10,3,-0.61416923,-0.04724379,-2.58752769,-0.19904059,-13.302383,-1.02326,34,2.8202515,2,2.9106317,0.0588,16,2.8407829,0.4706,16,2.7884221,0.4706,Deca,3,10,Ag_03,deca_Ag_03_Au_10_config_310,NO,NA,NA
deca_Ag_03_Au_10_config_311,-11990.0424,-11992.12386,0.99321,0.17044,10,3,-0.76216923,-0.0586284,-2.55400769,-0.19646213,-13.268856,-1.020681,35,2.8338044,1,3.1234088,0.0286,17,2.8247738,0.4857,17,2.8257995,0.4857,Deca,3,10,Ag_03,deca_Ag_03_Au_10_config_311,NO,NA,NA
deca_Ag_03_Au_10_config_312,-11990.0199,-11991.78044,0.9933,0.17087,10,3,-0.73966923,-0.05689763,-2.21058769,-0.17004521,-12.92544,-0.994265,35,2.830575,2,2.8349802,0.0571,12,2.82007,0.3429,21,2.8361583,0.6,Deca,3,10,Ag_03,deca_Ag_03_Au_10_config_312,Cs,0.0777,0.0279
deca_Ag_03_Au_10_config_313,-11990.23376,-11992.32682,0.99983,0.03532,10,3,-0.95352923,-0.0733484,-2.75696769,-0.21207444,-13.471823,-1.036294,36,2.838995,2,2.9563193,0.0556,17,2.8273606,0.4722,17,2.8368263,0.4722,Deca,3,10,Ag_03,deca_Ag_03_Au_10_config_313,NO,NA,NA
