deca_Ag_07_Au_06_config_380,-12365.1226,-12365.13882,0.997242,0.19749,6,7,-2.784862,-0.21422,-2.452679,-0.188668,-16.591816,-1.276294,33,2.8088286,9,2.8260469,0.2727,21,2.7881672,0.6364,3,2.9018028,0.0909,Deca
deca_Ag_07_Au_06_config_353,-12365.3529,-12365.35405,0.997056,0.19561,6,7,-3.015162,-0.231936,-2.667917,-0.205224,-16.807054,-1.29285,38,2.8550918,15,2.899688,0.3947,17,2.8121319,0.4474,6,2.8653212,0.1579,Deca
deca_Ag_07_Au_06_config_368,-12365.1957,-12365.22505,0.996519,0.19055,6,7,-2.857962,-0.219843,-2.538917,-0.195301,-16.678054,-1.282927,34,2.8140919,11,2.8673549,0.3235,20,2.7912939,0.5882,3,2.7707798,0.0882,Deca
deca_Ag_07_Au_06_config_381,-12365.5735,-12365.59584,0.993991,0.17415,6,7,-3.235762,-0.248905,-2.909698,-0.223823,-17.048835,-1.311449,36,2.830101,7,2.8168983,0.1944,25,2.835278,0.6944,4,2.8208506,0.1111,Deca
deca_Ag_07_Au_06_config_397,-12365.1595,-12365.23437,0.999985,0.21096,6,7,-2.821762,-0.217059,-2.548236,-0.196018,-16.687373,-1.283644,35,2.8278778,11,2.8384895,0.3143,19,2.8120937,0.5429,5,2.864512,0.1429,Deca
deca_Ag_07_Au_06_config_311,-12364.8264,-12364.93581,0.992975,0.16941,6,7,-2.488662,-0.191436,-2.249673,-0.173052,-16.38881,-1.260678,34,2.812053,8,2.828968,0.2353,19,2.7906682,0.5588,7,2.8507631,0.2059,Deca
deca_Ag_12_Au_01_config_302,-12828.3554,-12829.00011,0.999692,0.15583,1,12,0.304223,0.023402,0.081385,0.00626,-18.338107,-1.410624,37,2.8582971,25,2.8540096,0.6757,12,2.8672287,0.3243,0,0,0,Deca
deca_Ag_12_Au_01_config_301,-12828.101,-12829.34737,0.995127,0.053,1,12,0.558623,0.042971,-0.265878,-0.020452,-18.68537,-1.437336,37,2.8368394,31,2.8304963,0.8378,6,2.8696127,0.1622,0,0,0,Deca
deca_Ag_10_Au_03_config_319,-12644.2859,-12644.28851,0.991789,0.16482,3,10,-2.155031,-0.165772,-1.765163,-0.135782,-18.472513,-1.420963,34,2.8202884,22,2.8345194,0.6471,11,2.790843,0.3235,1,2.8311129,0.0294,Deca
deca_Ag_10_Au_03_config_302,-12643.5584,-12643.55878,0.999971,0.19287,3,10,-1.427531,-0.10981,-1.035427,-0.079648,-17.742777,-1.364829,36,2.8651326,19,2.9621911,0.5278,17,2.7566547,0.4722,0,0,0,Deca
