NAME,E_KS (1st),E_Free,Spin,Gap,N_Au,N_Ag,DE1stStep,DE1stSteppa,EEFinal,EEFinalpa,DE_Bulk,DE_Bulk_peratom,NBONDS,AVBONDLEN,NAGAGBONDS,AVAGAGBONDLEN,AGAGRATIO,NAGAUBONDS,AVAGAUBONDLEN,AGAURATIO,NAUAUBONDS,AVAUAUBONDLEN,AUAURATIO,Type
deca_Ag_06_Au_07_config_373,-12269.7824,-12272.008054,0.994118,0.17477,7,6,-0.709038,-0.054541,-2.600989,-0.200076,-15.884054,-1.221850,37,2.8483233,9,2.8760726,0.2432,18,2.8359151,0.4865,10,2.8456845,0.2703,Deca
deca_Ag_06_Au_07_config_374,-12271.7961,-12271.812192,0.997371,0.19845,7,6,-2.722738,-0.209441,-2.405127,-0.185010,-15.688192,-1.206784,35,2.8311646,6,2.8468015,0.1714,22,2.8212421,0.6286,7,2.8489463,0.2000,Deca
deca_Ag_06_Au_07_config_375,-12270.0654,-12271.938961,0.996443,0.18989,7,6,-0.992038,-0.076311,-2.531896,-0.194761,-15.814961,-1.216535,36,2.8328302,9,2.8683524,0.2500,19,2.8234179,0.5278,8,2.8152244,0.2222,Deca
deca_Ag_06_Au_07_config_376,-12269.8652,-12271.742149,0.993960,0.17400,7,6,-0.791838,-0.060911,-2.335084,-0.179622,-15.618149,-1.201396,36,2.8437791,6,2.8730614,0.1667,22,2.8264549,0.6111,8,2.8694584,0.2222,Deca
deca_Ag_06_Au_07_config_377,-12270.0682,-12271.839623,0.997720,0.20326,7,6,-0.994838,-0.076526,-2.432558,-0.187120,-15.715623,-1.208894,34,2.8233202,7,2.8242409,0.2059,20,2.8184867,0.5882,7,2.8362095,0.2059,Deca
deca_Ag_06_Au_07_config_378,-12270.3582,-12272.238536,0.997152,0.19656,7,6,-1.284838,-0.098834,-2.831471,-0.217805,-16.114536,-1.239580,36,2.8335996,7,2.8711109,0.1944,23,2.8245296,0.6389,6,2.8246038,0.1667,Deca
deca_Ag_06_Au_07_config_379,-12269.7716,-12271.975534,0.994902,0.17905,7,6,-0.698238,-0.053711,-2.568469,-0.197575,-15.851534,-1.219349,36,2.8327658,8,2.8873551,0.2222,21,2.8088250,0.5833,7,2.8422015,0.1944,Deca
deca_Ag_06_Au_07_config_380,-12269.8025,-12271.591176,0.989461,0.15722,7,6,-0.729138,-0.056088,-2.184111,-0.168009,-15.467176,-1.189783,34,2.8218620,6,2.8259022,0.1765,21,2.8186245,0.6176,7,2.8281105,0.2059,Deca
deca_Ag_06_Au_07_config_381,-12272.1557,-12272.156880,0.999400,0.24318,7,6,-3.082338,-0.237103,-2.749815,-0.211524,-16.032880,-1.233298,33,2.8041036,6,2.7866380,0.1818,20,2.7929575,0.6061,7,2.8509192,0.2121,Deca
deca_Ag_06_Au_07_config_382,-12269.7690,-12269.769742,4.995928,0.20031,7,6,-0.695638,-0.053511,-0.362677,-0.027898,-13.645742,-1.049672,37,2.8441007,5,2.8714850,0.1351,21,2.8307643,0.5676,11,2.8571143,0.2973,Deca
deca_Ag_06_Au_07_config_383,-12269.6298,-12272.068411,0.994974,0.17951,7,6,-0.556438,-0.042803,-2.661346,-0.204719,-15.944411,-1.226493,37,2.8520265,10,2.9575179,0.2703,21,2.8226964,0.5676,6,2.7788603,0.1622,Deca
