Name	NAGAG	NAGAU	NAUAU	NTOT
91	AuIco9_Ag4_4face_ini.txt-measurement	3	18	21	42
92	AuIco9_Ag4_4face.txt-measurement	5	19	12	36
93	AuIco9_Ag4_top_2face_bottom_ini.txt-measurement	3	18	21	42
94	AuIco9_Ag4_top_2face_bottom.txt-measurement	3	16	18	37
95	AuIco9_Ag4_top_2face_center_ini.txt-measurement	6	18	18	42
96	AuIco9_Ag4_top_2face_center.txt-measurement	6	17	14	37
97	AuIco9_Ag4_top_2face_face2_ini.txt-measurement	5	14	23	42
98	AuIco9_Ag4_top_2face_face2.txt-measurement	5	12	20	37
99	AuIco9_Ag4_top_3face_ini.txt-measurement	5	14	23	42
100	AuIco9_Ag4_top_3face.txt-measurement	5	12	20	37
101	AuIco9_Ag4_top_face_center_bottom_ini.txt-measurement	4	22	16	42
102	AuIco9_Ag4_top_face_center_bottom.txt-measurement	4	22	13	39
103	AuIco9_Ag4_top_face_center_face2_ini.txt-measurement	5	20	17	42
104	AuIco9_Ag4_top_face_center_face2.txt-measurement	5	20	14	39
105	AuIco11_Ag2_face_bottom_ini.txt-measurement	0	12	30	42
106	AuIco11_Ag2_face_bottom.txt-measurement	0	12	22	34
107	AuIco11_Ag2_top_bottom_ini.txt-measurement	0	12	30	42
108	AuIco11_Ag2_top_bottom.txt-measurement	0	10	26	36
109	AuIco11_Ag2_top_face2_ini.txt-measurement	0	12	30	42
110	AuIco11_Ag2_top_face2.txt-measurement	0	11	24	35
111	AuIco12_Ag1_center_ini.txt-measurement	0	12	30	42
112	AuIco12_Ag1_center.txt-measurement	0	12	30	42
113	AuIco12_Ag1_face_ini.txt-measurement	0	6	36	42
114	AuIco12_Ag1_face.txt-measurement	0	5	31	36
115	AuIco12_Ag1_top_ini.txt-measurement	0	6	36	42
116	AuIco12_Ag1_top.txt-measurement	0	5	31	36
117	Au13.txt-measurement	0	0	42	42
118	AuIco13_ini.txt-measurement	0	0	42	42
