NAME,E_KS (1st),E_Free,Spin,Gap,N_Au,N_Ag,DE1stStep,DE1stSteppa,EEFinal,EEFinalpa,DE_Bulk,DE_Bulk_pa,NBONDS,AVBONDLEN,NAGAGBONDS,AVAGAGBONDLEN,AGAGRATIO,NAGAUBONDS,AVAGAUBONDLEN,AGAURATIO,NAUAUBONDS,AVAUAUBONDLEN,AUAURATIO,Type,Schoenflies symbol,CSM,RMS,Schoenflies symbol T
cubo_Ag_05_Au_08_config_330,-12177.316,-12177.48848,0.99,0.17017,8,5,-0.756562,-0.058197,-0.827464,-0.063651,16.49305,1.268696,36,2.8432,4,2.89226,0.1111,17,2.80128,0.4722,15,2.87762,0.4167,Cubo,NO,,,Oh
cubo_Ag_05_Au_08_config_331,-12177.5087,-12177.62757,1,0.19541,8,5,-0.949262,-0.07302,-0.966554,-0.07435,16.35396,1.257997,36,2.83573,3,2.92156,0.0833,19,2.80095,0.5278,14,2.86454,0.3889,Cubo,NO,,,C2v
cubo_Ag_05_Au_08_config_332,-12177.3938,-12177.50761,1,0.1997,8,5,-0.834362,-0.064182,-0.846594,-0.065123,16.47392,1.267225,36,2.8395,3,2.88977,0.0833,19,2.82185,0.5278,14,2.85268,0.3889,Cubo,NO,,,Oh
cubo_Ag_05_Au_08_config_333,-12177.5173,-12177.64309,1,0.19871,8,5,-0.957862,-0.073682,-0.982074,-0.075544,16.33844,1.256803,36,2.8419,2,2.94951,0.0556,21,2.8224,0.5833,13,2.85684,0.3611,Cubo,Cs,0.0195,0.0139,Oh
cubo_Ag_05_Au_08_config_334,-12177.5379,-12177.66823,1,0.19544,8,5,-0.978462,-0.075266,-1.007214,-0.077478,16.3133,1.254869,36,2.83897,3,2.89897,0.0833,19,2.80037,0.5278,14,2.8785,0.3889,Cubo,NO,,,Oh
cubo_Ag_05_Au_08_config_335,-12176.9521,-12176.72168,1,0.15724,8,5,-0.392662,-0.030205,-0.060664,-0.004666,17.25985,1.327681,36,2.83343,2,2.84429,0.0556,21,2.80556,0.5833,13,2.87677,0.3611,Cubo,Cs,0.1963,0.0443,Oh
cubo_Ag_05_Au_08_config_336,-12177.492,-12177.60452,1,0.19201,8,5,-0.932562,-0.071736,-0.943504,-0.072577,16.37701,1.25977,36,2.83949,3,2.88219,0.0833,19,2.81587,0.5278,14,2.8624,0.3889,Cubo,Cs,0.0000,0.0002,Oh
cubo_Ag_05_Au_08_config_337,-12177.4079,-12177.57162,1,0.18317,8,5,-0.848462,-0.065266,-0.910604,-0.070046,16.40991,1.262301,36,2.84014,3,2.8903,0.0833,19,2.80883,0.5278,14,2.87188,0.3889,Cubo,NO,,,Oh
cubo_Ag_05_Au_08_config_338,-12177.3945,-12177.5542,0.99,0.15645,8,5,-0.835062,-0.064236,-0.893184,-0.068706,16.42733,1.263641,36,2.84172,2,2.93964,0.0556,21,2.82038,0.5833,13,2.86113,0.3611,Cubo,C2,8.1590,0.2856,Oh
cubo_Ag_05_Au_08_config_339,-12177.4276,-12177.59974,0.99,0.15223,8,5,-0.868162,-0.066782,-0.938724,-0.07221,16.38179,1.260138,36,2.84371,4,2.8755,0.1111,17,2.79775,0.4722,15,2.88733,0.4167,Cubo,C2,0.0007,0.0027,Oh
cubo_Ag_05_Au_08_config_340,-12177.3868,-12177.76212,1,0.19589,8,5,-0.827362,-0.063643,-1.101104,-0.0847,16.21941,1.247647,35,2.86129,4,2.9615,0.1143,19,2.85622,0.5429,12,2.83591,0.3429,Cubo,Cs,0.0006,0.0024,Cs
cubo_Ag_05_Au_08_config_341,-12177.6082,-12177.71606,1,0.19416,8,5,-1.048762,-0.080674,-1.055044,-0.081157,16.26547,1.25119,36,2.84084,2,2.97186,0.0556,21,2.81537,0.5833,13,2.86182,0.3611,Cubo,C2,0.0020,0.0044,Oh
cubo_Ag_05_Au_08_config_342,-12177.4673,-12177.57576,1,0.19455,8,5,-0.907862,-0.069836,-0.914744,-0.070365,16.40577,1.261982,36,2.84054,2,2.98698,0.0556,21,2.82238,0.5833,13,2.84734,0.3611,Cubo,C2v,0.0002,0.0013,Oh
cubo_Ag_06_Au_07_config_301,-12270.6739,-12270.82423,1,0.13008,7,6,-0.877454,-0.067496,-0.923455,-0.071035,16.346134,1.257395,36,2.83657,11,2.84603,0.3056,15,2.82643,0.4167,10,2.84138,0.2778,Cubo,Cs,0.0007,0.0027,Oh
cubo_Ag_06_Au_07_config_302,-12271.0052,-12271.15506,1,0.19344,7,6,-1.208754,-0.092981,-1.254285,-0.096483,16.015304,1.231946,36,2.83251,9,2.83862,0.25,19,2.82262,0.5278,8,2.8491,0.2222,Cubo,Cs,0.0190,0.0138,Oh
cubo_Ag_06_Au_07_config_303,-12270.6863,-12270.79496,1,0.19465,7,6,-0.889854,-0.06845,-0.894185,-0.068783,16.375404,1.259646,36,2.83515,11,2.84514,0.3056,15,2.83267,0.4167,10,2.82789,0.2778,Cubo,C2v,0.0000,0.0001,Oh
