NAME,E_KS (1st),E_Free,Spin,Gap,N_Au,N_Ag,DE1stStep,DE1stSteppa,EEFinal,EEFinalpa,DE_Bulk,DE_Bulk_peratom,NBONDS,AVBONDLEN,NAGAGBONDS,AVAGAGBONDLEN,AGAGRATIO,NAGAUBONDS,AVAGAUBONDLEN,AGAURATIO,NAUAUBONDS,AVAUAUBONDLEN,AUAURATIO,Type,Schoenflies symbol,CSM,RMS,Schoenflies symbol T
Ag_04_Au_09_BBP_config_335.xyz,-12083.74,-12085.377,0.996,0.18751,9,4,-1.1533,-0.0887,-1.2138,-0.0934,-14.099,-1.0845,34,2.8206,3,2.9069,0.0882,18,2.8144,0.5294,13,2.8093,0.3824,BBP,NO,,,NO
Ag_04_Au_09_BBP_config_336.xyz,-12083.4379,-12085.0804,0.994,0.17346,9,4,-0.8512,-0.0655,-0.9172,-0.0706,-13.802,-1.0617,35,2.8236,3,2.8126,0.0857,16,2.8231,0.4571,16,2.8262,0.4571,BBP,NO,,,C2v
Ag_04_Au_09_BBP_config_337.xyz,-12083.5521,-12085.2287,0.995,0.18345,9,4,-0.9654,-0.0743,-1.0655,-0.082,-13.951,-1.0731,34,2.8226,3,2.876,0.0882,16,2.7894,0.4706,15,2.8473,0.4412,BBP,NO,,,NO
Ag_04_Au_09_BBP_config_338.xyz,-12083.5984,-12085.1498,0.996,0.18962,9,4,-1.0117,-0.0778,-0.9866,-0.0759,-13.872,-1.0671,35,2.835,3,2.9442,0.0857,19,2.8298,0.5429,13,2.8173,0.3714,BBP,NO,,,NO
Ag_04_Au_09_BBP_config_339.xyz,-12083.3772,-12085.0432,0.991,0.16467,9,4,-0.7905,-0.0608,-0.88,-0.0677,-13.765,-1.0589,34,2.8187,3,2.8503,0.0882,16,2.8188,0.4706,15,2.8123,0.4412,BBP,NO,,,NO
Ag_04_Au_09_BBP_config_340.xyz,-12083.6769,-12085.163,0.996,0.18028,9,4,-1.0902,-0.0839,-0.9998,-0.0769,-13.885,-1.0681,36,2.8399,5,2.9224,0.1389,17,2.829,0.4722,14,2.8238,0.3889,BBP,NO,,,NO
Ag_04_Au_09_BBP_config_341.xyz,-12083.6538,-12085.2805,0.996,0.19354,9,4,-1.0671,-0.0821,-1.1173,-0.0859,-14.003,-1.0771,35,2.8276,4,2.9205,0.1143,17,2.8029,0.4857,14,2.831,0.4,BBP,NO,,,NO
Ag_04_Au_09_BBP_config_342.xyz,-12083.7345,-12085.4117,0.998,0.20095,9,4,-1.1478,-0.0883,-1.2485,-0.096,-14.134,-1.0872,35,2.8273,2,2.8246,0.0571,19,2.8161,0.5429,14,2.8429,0.4,BBP,NO,,,NO
Ag_04_Au_09_BBP_config_343.xyz,-12083.3879,-12085.0276,0.998,0.19582,9,4,-0.8012,-0.0616,-0.8644,-0.0665,-13.75,-1.0577,35,2.8304,5,2.8736,0.1429,14,2.8298,0.4,16,2.8175,0.4571,BBP,NO,,,NO
Ag_04_Au_09_BBP_config_344.xyz,-12083.642,-12085.1472,0.995,0.17995,9,4,-1.0553,-0.0812,-0.984,-0.0757,-13.869,-1.0669,36,2.841,3,2.941,0.0833,19,2.8373,0.5278,14,2.8246,0.3889,BBP,NO,,,NO
Ag_04_Au_09_BBP_config_345.xyz,-12083.7668,-12085.2484,0.997,0.19407,9,4,-1.1801,-0.0908,-1.0852,-0.0835,-13.97,-1.0746,35,2.8296,2,2.9986,0.0571,21,2.8223,0.6,12,2.8141,0.3429,BBP,NO,,,NO
Ag_04_Au_09_BBP_config_346.xyz,-12083.8002,-12085.4839,0.997,0.19598,9,4,-1.2135,-0.0933,-1.3207,-0.1016,-14.206,-1.0928,35,2.8279,4,2.961,0.1143,19,2.8162,0.5429,12,2.802,0.3429,BBP,NO,,,NO
Ag_04_Au_09_BBP_config_347.xyz,-12083.6012,-12085.2581,0.993,0.17306,9,4,-1.0145,-0.078,-1.0949,-0.0842,-13.98,-1.0754,35,2.8276,3,2.905,0.0857,18,2.82,0.5143,14,2.8209,0.4,BBP,NO,,,NO
