NAME,E_KS (1st),E_Free,Spin,Gap,N_Au,N_Ag,DE1stStep,DE1stSteppa,EEFinal,EEFinalpa,DE_Bulk,DE_Bulk_peratom,NBONDS,AVBONDLEN,NAGAGBONDS,AVAGAGBONDLEN,AGAGRATIO,NAGAUBONDS,AVAGAUBONDLEN,AGAURATIO,NAUAUBONDS,AVAUAUBONDLEN,AUAURATIO,Type,Schoenflies symbol,CSM,RMS,Schoenflies symbol T
Ag_06_ICO_AuIco7_Ag6_4face_top_bottom,-12270.2573,-12270.7714,0.997,0.1983,7,6,-0.813838,-0.062603,-1.204938,-0.092688,-14.647,-1.127,37,2.8607,5,2.9296,0.1351,21,2.832,0.5676,11,2.8841,0.2973,ICO,NO,,,C3h
Ag_06_ICO_AuIco7_Ag6_4face_top_face2,-12270.1234,-12270.4214,2.998,0.2044,7,6,-0.679938,-0.052303,-0.854966,-0.065767,-14.297,-1.1,40,2.8814,9,2.9489,0.225,18,2.8354,0.45,13,2.8985,0.325,ICO,C2,0.07,0.0265,Th
Ag_06_ICO_AuIco7_Ag6_5face_bottom,-12270.185,-12270.3195,4.994,0.1866,7,6,-0.741538,-0.057041,-0.753038,-0.057926,-14.196,-1.092,42,2.8834,5,2.9308,0.119,26,2.8882,0.619,11,2.8505,0.2619,ICO,C5v,0.0511,0.0226,C2v
Ag_06_ICO_AuIco7_Ag6_5face_center,-12270.5031,-12271.8516,0.998,0.2094,7,6,-1.059638,-0.081511,-2.285129,-0.175779,-15.728,-1.21,32,2.8083,7,2.8966,0.2188,20,2.7944,0.625,5,2.7405,0.1563,ICO,NO,,,C2v
Ag_06_ICO_AuIco7_Ag6_5face_face2,-12270.2293,-12271.807,0.999,0.2222,7,6,-0.785838,-0.060449,-2.240495,-0.172346,-15.683,-1.206,33,2.8071,7,2.8463,0.2121,19,2.7958,0.5758,7,2.7987,0.2121,ICO,NO,,,C3
Ag_06_ICO_AuIco7_Ag6_5face_top,-12269.8788,-12270.0514,4.999,0.2311,7,6,-0.435338,-0.033488,-0.484894,-0.0373,-13.927,-1.071,42,2.8848,10,2.9364,0.2381,16,2.8466,0.381,16,2.8908,0.381,ICO,C5v,0.0191,0.0138,Cs
Ag_05_ICO_Au_08_Ico13_config.302,-12177.0988,-12177.7934,0.996,0.1663,8,5,-1.001515,-0.07704,-1.559435,-0.119957,-14.092,-1.084,36,2.8318,6,2.8279,0.1667,20,2.8305,0.5556,10,2.8368,0.2778,ICO,Cs,1.2478,0.1117,Cs
Ag_05_ICO_Au_08_Ico13_config.306,-12177.1607,-12177.975,0.995,0.1802,8,5,-1.063415,-0.081801,-1.741068,-0.133928,-14.274,-1.098,37,2.8531,4,2.7185,0.1081,24,2.8778,0.6486,9,2.8472,0.2432,ICO,NO,,,NO
Ag_05_ICO_Au_08_Ico13_config.307,-12177.5478,-12178.7825,0.993,0.1676,8,5,-1.450515,-0.111578,-2.548483,-0.196037,-15.081,-1.16,34,2.8232,5,2.9073,0.1471,20,2.8135,0.5882,9,2.7981,0.2647,ICO,NO,,,D3
Ag_05_ICO_Au_08_Ico13_config.308,-12177.5317,-12178.0933,0.998,0.2009,8,5,-1.434415,-0.11034,-1.859337,-0.143026,-14.392,-1.107,37,2.8562,5,2.8354,0.1351,24,2.8318,0.6486,8,2.9422,0.2162,ICO,C2,2.7386,0.1655,C2
Ag_05_ICO_Au_08_Ico13_config.309,-12177.2746,-12178.3587,0.997,0.1907,8,5,-1.177315,-0.090563,-2.12473,-0.163441,-14.658,-1.128,33,2.8195,4,2.945,0.1212,21,2.7969,0.6364,8,2.816,0.2424,ICO,NO,,,C3v
Ag_05_ICO_Au_08_Ico13_config.310,-12177.7536,-12178.3044,0.997,0.1976,8,5,-1.656315,-0.127409,-2.070456,-0.159266,-14.603,-1.123,39,2.8792,6,2.8801,0.1538,24,2.8636,0.6154,9,2.92,0.2308,ICO,NO,,,Th
Ag_05_ICO_Au_08_Ico13_config.312,-12176.8911,-12177.2438,2.998,0.2056,8,5,-0.793815,-0.061063,-1.009805,-0.077677,-13.543,-1.042,38,2.8649,5,2.9368,0.1316,18,2.8372,0.4737,15,2.8742,0.3947,ICO,Cs,0.0644,0.0254,C2v
Ag_05_ICO_Au_08_Ico13_config.314,-12176.6884,-12177.1281,2.974,0.1305,8,5,-0.591115,-0.04547,-0.894084,-0.068776,-13.427,-1.033,39,2.8799,4,2.9672,0.1026,20,2.856,0.5128,15,2.8884,0.3846,ICO,NO,,,Th
Ag_05_ICO_Au_08_Ico13_config.316,-12177.0059,-12177.3811,2.988,0.155,8,5,-0.908615,-0.069893,-1.147174,-0.088244,-13.68,-1.052,38,2.864,4,3.0094,0.1053,21,2.8361,0.5526,13,2.8645,0.3421,ICO,Cs,0.0032,0.0057,Td
Ag_05_ICO_Au_08_Ico13_config.317,-12177.2659,-12177.7838,0.997,0.1936,8,5,-1.168615,-0.089893,-1.549828,-0.119218,-14.083,-1.083,38,2.8714,3,2.9874,0.0789,22,2.8206,0.5789,13,2.9305,0.3421,ICO,Cs,0.0641,0.0253,NO
Ag_05_ICO_Au_08_Ico13_config.318,-12176.9954,-12178.6094,0.99,0.1587,8,5,-0.898115,-0.069086,-2.375402,-0.182723,-14.908,-1.147,34,2.8219,4,2.8175,0.1176,20,2.8158,0.5882,10,2.8359,0.2941,ICO,NO,,,NO
Ag_05_ICO_Au_08_Ico13_config.319,-12177.299,-12178.543,0.997,0.1984,8,5,-1.201715,-0.09244,-2.309062,-0.17762,-14.842,-1.142,33,2.8076,4,2.8103,0.1212,20,2.7851,0.6061,9,2.8565,0.2727,ICO,NO,,,Cs
Ag_05_ICO_Au_08_Ico13_config.321,-12176.8271,-12178.1379,0.998,0.2002,8,5,-0.729815,-0.05614,-1.903919,-0.146455,-14.437,-1.111,35,2.8335,4,2.9175,0.1143,21,2.8122,0.6,10,2.8448,0.2857,ICO,NO,,,NO
Ag_05_ICO_Au_08_Ico13_config.322,-12177.0131,-12178.8771,0.998,0.2122,8,5,-0.915815,-0.070447,-2.643144,-0.203319,-15.176,-1.167,34,2.8192,5,2.9114,0.1471,21,2.7833,0.6176,8,2.8556,0.2353,ICO,NO,,,C2v
Ag_05_ICO_AuIco8_Ag5_2face_2face2_center,-12176.9901,-12177.6685,0.994,0.1729,8,5,-0.892815,-0.068678,-1.434498,-0.110346,-13.967,-1.074,36,2.8325,8,2.8129,0.2222,16,2.8408,0.4444,12,2.8345,0.3333,ICO,NO,,,C2v
Ag_05_ICO_AuIco8_Ag5_2face_2face2_top,-12176.5427,-12178.0473,0.996,0.1862,8,5,-0.445415,-0.034263,-1.813367,-0.13949,-14.346,-1.104,34,2.8182,7,2.8263,0.2059,13,2.847,0.3824,14,2.7875,0.4118,ICO,Cs,0.0346,0.0186,Th
Ag_05_ICO_AuIco8_Ag5_2face_top_center_bottom,-12176.9078,-12177.9148,0.997,0.1949,8,5,-0.810515,-0.062347,-1.680793,-0.129292,-14.214,-1.093,37,2.862,7,2.8358,0.1892,21,2.8458,0.5676,9,2.9204,0.2432,ICO,Cs,0.3109,0.0558,Ih
Ag_05_ICO_AuIco8_Ag5_3face_top_bottom,-12176.9255,-12177.2266,2.997,0.1949,8,5,-0.828215,-0.063709,-0.992639,-0.076357,-13.526,-1.04,41,2.8844,5,2.9617,0.122,20,2.853,0.4878,16,2.8994,0.3902,ICO,Cs,0.0252,0.0159,C2v
Ag_05_ICO_AuIco8_Ag5_4face_center,-12176.9821,-12178.9269,0.996,0.1874,8,5,-0.884815,-0.068063,-2.692929,-0.207148,-15.226,-1.171,33,2.817,6,2.9026,0.1818,20,2.8078,0.6061,7,2.7697,0.2121,ICO,Cs,0.0083,0.0091,Cs
Ag_05_ICO_AuIco8_Ag5_4face_face2,-12176.9235,-12178.5452,0.998,0.2133,8,5,-0.826215,-0.063555,-2.311218,-0.177786,-14.844,-1.142,33,2.8085,6,2.8675,0.1818,17,2.78,0.5152,10,2.8217,0.303,ICO,NO,,,NO
Ag_05_ICO_AuIco8_Ag5_5face,-12176.6438,-12178.4972,0,0.3838,8,5,-0.546515,-0.04204,-2.263246,-0.174096,-14.796,-1.138,34,2.8222,6,2.8469,0.1765,17,2.8146,0.5,11,2.8203,0.3235,ICO,NO,,,C3
Ag_05_ICO_AuIco8_Ag5_top_face_center_face2_bottom,-12177.4203,-12178.1636,0.995,0.1787,8,5,-1.323015,-0.10177,-1.929597,-0.148431,-14.463,-1.113,38,2.8688,7,2.8931,0.1842,22,2.8616,0.5789,9,2.8676,0.2368,ICO,NO,,,Th
Ag_04_ICO_Au_09_Ico13_config.303,-12083.9038,-12084.7063,0.993,0.1709,9,4,-1.152692,-0.088669,-1.804779,-0.138829,-13.428,-1.033,36,2.8307,3,2.7764,0.0833,21,2.8417,0.5833,12,2.8252,0.3333,ICO,Cs,0.0335,0.0183,NO
Ag_04_ICO_Au_09_Ico13_config.305,-12083.6103,-12084.6026,0.994,0.1714,9,4,-0.859192,-0.066092,-1.701171,-0.130859,-13.325,-1.025,39,2.8839,3,2.6978,0.0769,24,2.9494,0.6154,12,2.7994,0.3077,ICO,C3v,0.8146,0.0903,D2d
Ag_04_ICO_Au_09_Ico13_config.309,-12083.5647,-12085.5087,0.998,0.2073,9,4,-0.813592,-0.062584,-2.607221,-0.200555,-14.231,-1.095,33,2.8098,3,2.8505,0.0909,18,2.7896,0.5455,12,2.8297,0.3636,ICO,NO,,,Th
Ag_04_ICO_Au_09_Ico13_config.310,-12083.3472,-12085.5636,0.999,0.2179,9,4,-0.596092,-0.045853,-2.662113,-0.204778,-14.286,-1.099,33,2.8131,4,2.851,0.1212,17,2.796,0.5152,12,2.8246,0.3636,ICO,Cs,0.0069,0.0083,Cs
