NAME,E_KS (1st),E_Free,Spin,Gap,N_Au,N_Ag,DE1stStep,DE1stSteppa,EEFinal,EEFinalpa,DE_Bulk,DE_Bulk_peratom,NBONDS,AVBONDLEN,NAGAGBONDS,AVAGAGBONDLEN,AGAGRATIO,NAGAUBONDS,AVAGAUBONDLEN,AGAURATIO,NAUAUBONDS,AVAUAUBONDLEN,AUAURATIO,Type,Schoenflies symbol,CSM,RMS,Schoenflies symbol T
deca_Ag_09_Au_04_config_344,-12549.9608,-12551.64663,0.99714,0.19649,4,9,-1.094308,-0.084178,-2.402353,-0.184796,15.089912,1.160762,36,2.8408136,21,2.872973,0.5833,14,2.7802646,0.3889,1,3.0131686,0.0278,Deca,NO,,,NO
deca_Ag_09_Au_04_config_345,-12549.7283,-12550.13238,0.99479,0.17849,4,9,-0.861808,-0.066293,-0.888103,-0.068316,16.604162,1.277243,37,2.84955,21,2.8379107,0.5676,12,2.7944591,0.3243,4,3.0759287,0.1081,Deca,C2v,0.0213,0.0146,D5h
deca_Ag_09_Au_04_config_346,-12550.054,-12551.08357,0.99857,0.09098,4,9,-1.187508,-0.091347,-1.839293,-0.141484,15.652972,1.204075,39,2.8684018,21,2.8729322,0.5385,18,2.8631165,0.4615,0,0,0,Deca,NO,,,C3v
deca_Ag_09_Au_04_config_347,-12550.0094,-12551.65817,0.99288,0.16904,4,9,-1.142908,-0.087916,-2.413893,-0.185684,15.078372,1.159875,36,2.8319948,20,2.8398826,0.5556,14,2.7989545,0.3889,2,2.9843988,0.0556,Deca,NO,,,NO
deca_Ag_09_Au_04_config_348,-12549.9407,-12550.80523,0.99752,0.20069,4,9,-1.074208,-0.082631,-1.560953,-0.120073,15.931312,1.225486,36,2.8421288,20,2.8379321,0.5556,15,2.8389435,0.4167,1,2.9738216,0.0278,Deca,NO,,,NO
deca_Ag_09_Au_04_config_349,-12550.1056,-12551.14178,1.00005,0.01085,4,9,-1.239148,-0.095319,-1.897503,-0.145962,15.594762,1.199597,37,2.8527381,20,2.8617041,0.5405,15,2.8536525,0.4054,2,2.7562294,0.0541,Deca,C2,0.3168,0.0563,C2
deca_Ag_09_Au_04_config_350,-12550.1343,-12551.66573,0.99995,0.05445,4,9,-1.267778,-0.097521,-2.421453,-0.186266,15.070812,1.159293,35,2.8217955,16,2.8248928,0.4571,18,2.816746,0.5143,1,2.8631494,0.0286,Deca,NO,,,NO
deca_Ag_09_Au_04_config_351,-12549.7423,-12550.25327,0.99485,0.1725,4,9,-0.875808,-0.06737,-1.008993,-0.077615,16.483272,1.267944,37,2.8495765,19,2.8639977,0.5135,16,2.8260825,0.4324,2,2.9005208,0.0541,Deca,C2v,0.0214,0.0146,D5h
deca_Ag_09_Au_04_config_352,-12548.9353,-12551.74491,1.12245,0.14309,4,9,-0.068758,-0.005289,-2.500633,-0.192356,14.991632,1.153202,35,2.8234873,18,2.8325932,0.5143,16,2.8077726,0.4571,1,2.9110203,0.0286,Deca,NO,,,NO
deca_Ag_09_Au_04_config_353,-12550.284,-12550.87802,0.99762,0.19925,4,9,-1.417508,-0.109039,-1.633743,-0.125673,15.858522,1.219886,36,2.8507862,18,2.8410397,0.5,18,2.860532,0.5,0,0,0,Deca,NO,,,C2
deca_Ag_10_Au_03_config_301,-12642.6388,-12643.06596,0.99551,0.05272,3,10,-0.507931,-0.039072,-0.542612,-0.041739,16.859497,1.296884,37,2.8406081,15,2.843246,0.4054,20,2.8212178,0.5405,2,3.0147259,0.0541,Deca,D5h,0.0826,0.0287,D5h
deca_Ag_10_Au_03_config_302,-12642.474,-12643.55878,1.00005,1.59805,3,10,-0.343081,-0.026391,-1.035432,-0.079649,16.366677,1.258975,36,2.8651326,19,2.9621911,0.5278,17,2.7566547,0.4722,0,0,0,Deca,Cs,0.1181,0.0344,Cs
deca_Ag_10_Au_03_config_303,-12642.5139,-12643.60707,0.99996,1.60709,3,10,-0.383051,-0.029465,-1.083722,-0.083363,16.318387,1.255261,36,2.8592081,18,2.9329269,0.5,17,2.7647951,0.4722,1,3.1372974,0.0278,Deca,Cs,0.1775,0.0421,Cs
deca_Ag_10_Au_03_config_304,-12643.1232,-12643.86814,0.99798,0.11721,3,10,-0.992331,-0.076333,-1.344792,-0.103446,16.057317,1.235178,37,2.8490562,23,2.8491778,0.6216,13,2.8489912,0.3514,1,2.8471231,0.027,Deca,NO,,,Cs
deca_Ag_10_Au_03_config_305,-12642.8064,-12644.30748,0.99213,0.16602,3,10,-0.675531,-0.051964,-1.784132,-0.137241,15.617977,1.201383,36,2.8319998,24,2.8417952,0.6667,9,2.8093805,0.25,3,2.8214877,0.0833,Deca,NO,,,NO
deca_Ag_10_Au_03_config_306,-12642.9013,-12643.41095,0.9967,0.19214,3,10,-0.770431,-0.059264,-0.887602,-0.068277,16.514507,1.270347,37,2.8480051,23,2.8333595,0.6216,12,2.8344936,0.3243,2,3.0974975,0.0541,Deca,Cs,0.2818,0.0531,D5d
deca_Ag_10_Au_03_config_307,-12642.7997,-12643.26063,0.96594,1.49432,3,10,-0.668851,-0.05145,-0.737282,-0.056714,16.664827,1.28191,37,2.8407395,23,2.8370342,0.6216,12,2.8267758,0.3243,2,2.9671316,0.0541,Deca,Cs,0.1009,0.0318,D5h
deca_Ag_10_Au_03_config_308,-12643.0546,-12643.51767,0.99659,0.18919,3,10,-0.923731,-0.071056,-0.994322,-0.076486,16.407787,1.262137,37,2.8427405,22,2.8262,0.5946,14,2.8590195,0.3784,1,2.9787371,0.027,Deca,NO,,,D5h
deca_Ag_10_Au_03_config_309,-12642.959,-12643.69104,0.99696,0.19388,3,10,-0.828131,-0.063702,-1.167692,-0.089822,16.234417,1.248801,36,2.848691,22,2.8432963,0.6111,13,2.8320062,0.3611,1,3.1842942,0.0278,Deca,NO,,,NO
deca_Ag_10_Au_03_config_310,-12640.2572,-12643.6071,0.99994,0.17825,3,10,1.873669,0.144128,-1.083752,-0.083366,16.318357,1.255258,36,2.8591771,18,2.9328661,0.5,17,2.7647974,0.4722,1,3.1372414,0.0278,Deca,Cs,0.1782,0.0422,Cs
deca_Ag_10_Au_03_config_311,-12642.9298,-12643.45366,0.99623,0.18372,3,10,-0.798931,-0.061456,-0.930312,-0.071562,16.471797,1.267061,37,2.8477454,21,2.8330269,0.5676,16,2.8670628,0.4324,0,0,0,Deca,Cs,0.7106,0.0843,D2d
deca_Ag_10_Au_03_config_312,-12642.4989,-12644.57479,1.00013,1.39705,3,10,-0.368021,-0.028309,-2.051442,-0.157803,15.350667,1.180821,34,2.8216839,21,2.8551841,0.6176,13,2.7675691,0.3824,0,0,0,Deca,Cs,0.0002,0.0015,Cs
deca_Ag_10_Au_03_config_313,-12642.5693,-12644.58331,1.00013,1.48039,3,10,-0.438401,-0.033723,-2.059962,-0.158459,15.342147,1.180165,36,2.8376539,21,2.8333173,0.5833,14,2.8486321,0.3889,1,2.7750418,0.0278,Deca,NO,,,C2
deca_Ag_10_Au_03_config_314,-12642.4687,-12642.80969,2.99169,0.16485,3,10,-0.337831,-0.025987,-0.286342,-0.022026,17.115767,1.316597,37,2.8463497,18,2.8467896,0.4865,16,2.8364527,0.4324,3,2.8964946,0.0811,Deca,C2v,0.0617,0.0248,D5h
deca_Ag_10_Au_03_config_315,-12642.6607,-12644.86258,0.99367,0.17257,3,10,-0.529831,-0.040756,-2.339232,-0.179941,15.062877,1.158683,38,2.8513443,24,2.8736255,0.6316,14,2.8131487,0.3684,0,0,0,Deca,C2,0.0393,0.0198,C2
deca_Ag_10_Au_03_config_316,-12642.414,-12644.56594,0.9975,0.2005,3,10,-0.283131,-0.021779,-2.042592,-0.157122,15.359517,1.181501,36,2.8347278,20,2.8223157,0.5556,15,2.8578286,0.4167,1,2.7364678,0.0278,Deca,NO,,,C2
deca_Ag_10_Au_03_config_317,-12642.8975,-12644.60426,0.99499,0.17961,3,10,-0.766631,-0.058972,-2.080912,-0.16007,15.321197,1.178554,36,2.8305354,23,2.8351154,0.6389,11,2.8159258,0.3056,2,2.8582151,0.0556,Deca,NO,,,NO
deca_Ag_10_Au_03_config_318,-12642.5917,-12644.29507,0.99844,0.18793,3,10,-0.460831,-0.035449,-1.771722,-0.136286,15.630387,1.202337,38,2.8542433,25,2.8505573,0.6579,13,2.861331,0.3421,0,0,0,Deca,Cs,0.1937,0.044,Cs
deca_Ag_10_Au_03_config_319,-12642.989,-12644.28851,1.00555,0.10792,3,10,-0.858091,-0.066007,-1.765162,-0.135782,15.636947,1.202842,34,2.8202884,22,2.8345194,0.6471,11,2.790843,0.3235,1,2.8311129,0.0294,Deca,NO,,,NO
deca_Ag_10_Au_03_config_320,-12643.0754,-12644.65966,0.99468,0.17777,3,10,-0.944531,-0.072656,-2.136312,-0.164332,15.265797,1.174292,36,2.8299718,22,2.8268673,0.6111,13,2.837606,0.3611,1,2.7990212,0.0278,Deca,NO,,,NO
deca_Ag_10_Au_03_config_321,-12643.0904,-12644.73729,0.99457,0.17715,3,10,-0.959531,-0.07381,-2.213942,-0.170303,15.188167,1.168321,36,2.8319509,23,2.8311253,0.6389,12,2.8104658,0.3333,1,3.1087422,0.0278,Deca,NO,,,NO
deca_Ag_10_Au_03_config_322,-12642.9795,-12643.40314,0.99726,0.19514,3,10,-0.848631,-0.065279,-0.879792,-0.067676,16.522317,1.270947,37,2.8477995,23,2.8506124,0.6216,13,2.8399847,0.3514,1,2.8846965,0.027,Deca,NO,,,D5h
deca_Ag_10_Au_03_config_323,-12643.2402,-12643.72296,0.99912,0.22916,3,10,-1.109331,-0.085333,-1.199612,-0.092278,16.202497,1.246346,37,2.8497193,22,2.8343289,0.5946,15,2.8722925,0.4054,0,0,0,Deca,Cs,0.0986,0.0314,Cs
deca_Ag_10_Au_03_config_324,-12643.1516,-12644.3944,0.99561,0.18356,3,10,-1.020731,-0.078518,-1.871052,-0.143927,15.531057,1.194697,35,2.8274949,21,2.8299325,0.6,14,2.8238385,0.4,0,0,0,Deca,NO,,,NO
deca_Ag_11_Au_02_config_301,-12735.4714,-12736.02687,0.99964,1.72567,2,11,-0.076194,-0.005861,-0.224452,-0.017266,17.087502,1.314423,37,2.8524988,20,2.8530517,0.5405,16,2.8338957,0.4324,1,3.1390967,0.027,Deca,C5v,0.2924,0.0541,D5h
deca_Ag_11_Au_02_config_302,-12735.8719,-12736.47757,0.99513,0.05334,2,11,-0.476654,-0.036666,-0.675152,-0.051935,16.636802,1.279754,37,2.8316813,25,2.8214371,0.6757,12,2.8530245,0.3243,0,0,0,Deca,D5h,0.1135,0.0337,D5h
deca_Ag_11_Au_02_config_303,-12735.9423,-12736.73154,1.00044,1.61201,2,11,-0.547004,-0.042077,-0.929122,-0.071471,16.382832,1.260218,35,2.8297255,27,2.8349137,0.7714,7,2.802032,0.2,1,2.8834953,0.0286,Deca,NO,,,Cs
deca_Ag_11_Au_02_config_304,-12735.9865,-12736.82174,1.00008,1.62894,2,11,-0.591224,-0.045479,-1.019322,-0.078409,16.292632,1.253279,36,2.8406065,27,2.844933,0.75,9,2.8276258,0.25,0,0,0,Deca,Cs,0.2514,0.0501,Cs
